month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202502,34007,"camden, nj",337450.0,-0.006,0.0798,585.0,-0.006,0.1808,36.0,-0.2174,-0.0204,422.0,0.0498,-0.1021,16.0,0.3333,0.3333,180.0,0.0843,0.3235,545.0,0.0977,-0.0939,212.0,0.0061,0.1004,1555.0,-0.0089,0.0058,378037.0,-0.0078,0.071,1114.0,0.0164,0.0239,0.9324,0.088,-0.2827,0.0
202502,34005,"burlington, nj",392475.0,0.0105,0.0263,611.0,-0.0169,0.4002,36.0,-0.2871,0.1163,422.0,0.1344,-0.0664,10.0,-0.4444,-0.2857,164.0,0.0,0.3016,590.0,0.107,-0.1,236.0,0.0049,0.0574,1661.0,-0.0109,-0.0727,513967.0,0.0063,-0.0833,1185.0,0.0363,0.0922,0.9656,0.1081,-0.5367,0.0
202502,34003,"bergen, nj",799900.0,0.0187,0.0262,934.0,-0.0376,-0.0199,33.0,-0.3925,0.0,592.0,0.0764,-0.0263,14.0,1.3333,0.4,100.0,-0.0741,0.3158,182.0,-0.0055,0.1561,408.0,0.0019,0.068,1914.0,-0.0193,-0.1349,1457644.0,0.0275,0.0891,1108.0,-0.0259,0.0032,0.1943,0.0063,0.0296,0.0
202502,34037,"sussex, nj",399950.0,-0.0333,-0.0063,289.0,-0.0153,0.023,50.0,-0.1304,0.1236,144.0,0.125,-0.2174,2.0,0.0,-0.6667,48.0,0.4118,0.2632,187.0,-0.1095,-0.0765,262.0,-0.0032,0.0906,1908.0,0.0475,0.0077,573239.0,0.0274,0.1941,478.0,-0.0459,-0.0083,0.6471,-0.0684,-0.0698,0.0
202502,34041,"warren, nj",399950.0,-0.0303,0.0021,166.0,-0.0119,0.0248,49.0,-0.1595,0.413,94.0,0.2703,-0.0208,2.0,,0.0,26.0,0.0833,-0.0714,116.0,0.045,0.0357,229.0,0.0162,0.059,1998.0,-0.0862,0.0058,481960.0,-0.0766,-0.0566,279.0,-0.0036,0.0127,0.7009,0.0382,0.0074,0.0
202502,34017,"hudson, nj",612500.0,0.0025,-0.0576,777.0,-0.0133,0.043,41.0,-0.2254,0.0061,376.0,0.1824,0.0053,8.0,0.3333,0.3333,102.0,0.3784,0.0625,530.0,0.0066,-0.0425,556.0,0.0158,-0.0466,1100.0,-0.0128,-0.025,769631.0,-0.001,-0.0537,1284.0,-0.0031,0.0102,0.6825,0.0136,-0.0609,0.0
202502,34009,"cape may, nj",827000.0,-0.0409,-0.081,785.0,0.0404,0.0776,74.0,-0.1345,0.0423,302.0,0.313,-0.0736,8.0,1.0,1.0,116.0,0.0545,0.2889,344.0,0.0836,-0.0779,669.0,-0.0072,0.0435,1630.0,0.0218,-0.044,1470531.0,0.0086,-0.0691,1125.0,0.0608,0.0279,0.4376,0.0174,-0.0737,0.0
202502,34035,"somerset, nj",647000.0,-0.0425,0.0793,319.0,0.0016,0.1774,35.0,-0.3122,0.4388,244.0,0.0893,0.0083,6.0,2.0,,20.0,-0.4118,-0.0909,277.0,0.1642,0.0241,332.0,-0.0067,0.0404,1817.0,-0.0489,-0.1209,946437.0,-0.0058,-0.0737,580.0,0.0526,0.0831,0.8681,0.1213,-0.13,0.0
202502,34025,"monmouth, nj",844725.0,0.0095,0.0042,998.0,0.0015,-0.0344,52.0,-0.1811,0.3684,600.0,0.2195,-0.0033,8.0,1.0,-0.8095,136.0,-0.0685,-0.1605,958.0,-0.0352,0.0268,399.0,0.0209,0.0077,2018.0,0.0318,0.0076,1352482.0,0.0318,0.0616,1934.0,-0.0242,-0.0115,0.9604,-0.0366,0.0572,0.0
202502,34027,"morris, nj",677450.0,-0.011,0.0007,413.0,-0.0155,0.0024,31.0,-0.3711,0.0991,300.0,-0.026,-0.2063,6.0,0.5,0.5,52.0,0.04,0.3,425.0,0.0455,0.1214,341.0,0.0238,0.0278,2474.0,0.035,-0.0112,962151.0,-0.022,-0.0264,838.0,0.0327,0.0641,1.0291,0.06,0.1092,0.0
202502,34021,"mercer, nj",432000.0,0.036,0.1235,408.0,-0.0145,0.3697,52.0,-0.1417,0.4306,248.0,0.2784,-0.0462,6.0,-0.25,2.0,90.0,0.0,0.4516,421.0,0.0796,-0.0656,269.0,0.0039,0.1203,1564.0,0.0141,-0.0057,703347.0,0.018,0.1589,818.0,0.0361,0.1024,1.0319,0.0899,-0.4807,0.0
202502,34019,"hunterdon, nj",670750.0,-0.03,0.003,158.0,-0.0247,-0.2,55.0,-0.2254,-0.1235,106.0,0.6563,0.0816,0.0,,-1.0,20.0,0.0,-0.4118,147.0,-0.0201,-0.0298,303.0,0.0197,0.1155,2448.0,-0.0245,-0.1394,1059401.0,-0.0093,0.074,301.0,-0.0147,-0.125,0.9272,0.0044,0.1627,0.0
202502,34023,"middlesex, nj",529475.0,-0.0024,0.059,805.0,0.0119,0.2944,38.0,-0.3491,0.1984,472.0,0.0306,-0.0126,10.0,0.0,0.6667,140.0,0.4894,0.75,791.0,-0.0044,-0.0389,332.0,-0.0009,0.0664,1601.0,-0.0263,-0.0436,608050.0,-0.0026,0.0312,1552.0,0.0039,0.0922,0.9826,-0.0161,-0.3408,0.0
202502,34039,"union, nj",600000.0,0.0076,0.0915,357.0,0.0785,-0.0219,29.0,-0.383,-0.0169,330.0,0.2595,0.1149,4.0,-0.3333,0.0,46.0,0.2778,0.9167,308.0,0.0477,-0.0821,369.0,0.0013,0.0382,2210.0,0.1355,0.1792,774671.0,0.0473,0.0963,659.0,0.0698,-0.0559,0.8613,-0.0254,-0.0565,0.0
202502,34015,"gloucester, nj",372450.0,-0.0065,0.0642,442.0,-0.0156,0.265,44.0,-0.0984,-0.0114,284.0,0.136,-0.0405,4.0,-0.5,-0.75,100.0,-0.0385,0.0204,435.0,0.1343,-0.0408,215.0,0.0014,0.0684,1733.0,-0.017,0.0212,406884.0,0.0036,0.0218,884.0,0.0625,0.1078,0.9853,0.1302,-0.3141,0.0
202502,34001,"atlantic, nj",399950.0,0.0001,0.0074,950.0,0.0651,0.1297,59.0,-0.1491,0.0086,414.0,0.1897,0.1436,24.0,0.0909,0.5,184.0,0.2267,0.0337,475.0,0.1061,-0.0443,257.0,-0.0098,0.0326,1551.0,0.0295,0.0323,734950.0,-0.0184,0.0653,1404.0,0.0796,0.0537,0.4997,0.0185,-0.091,0.0
202502,34011,"cumberland, nj",299319.0,-0.0018,0.1568,286.0,0.0594,0.2046,57.0,-0.1231,0.1515,116.0,-0.0794,-0.0794,4.0,1.0,-0.5,56.0,-0.3,-0.2,159.0,0.1007,0.0,198.0,0.026,0.1053,1512.0,-0.0072,0.0586,341687.0,-0.0185,0.201,445.0,0.0762,0.1266,0.5552,0.0208,-0.1136,0.0
202502,34029,"ocean, nj",584906.0,0.0693,0.0587,1568.0,-0.0594,0.0595,47.0,-0.1966,0.175,776.0,-0.0276,-0.106,22.0,1.75,0.8333,308.0,-0.163,0.0132,1099.0,0.0087,-0.1699,319.0,0.0341,0.062,1743.0,0.0154,-0.0019,875962.0,0.0561,-0.0361,2639.0,-0.0296,-0.0445,0.7009,0.0473,-0.1937,0.0
202501,34023,"middlesex, nj",530750.0,-0.0051,0.0681,795.0,-0.1401,0.1778,58.0,0.1485,0.3976,458.0,0.4774,0.0409,10.0,-0.375,-0.2857,94.0,-0.06,0.2703,794.0,-0.1412,0.081,332.0,0.0029,0.0933,1644.0,0.0041,0.0035,609657.0,0.0088,0.0583,1546.0,-0.1383,0.1143,0.9987,-0.0013,-0.0894,0.0
202501,34007,"camden, nj",339497.0,-0.0013,0.1223,588.0,-0.0297,0.1053,46.0,-0.0054,0.0,402.0,0.4155,0.142,12.0,-0.1429,-0.25,166.0,0.3387,0.2206,497.0,-0.0898,-0.0597,211.0,-0.0033,0.0806,1569.0,-0.0092,0.0235,381014.0,-0.0007,0.0827,1096.0,-0.0449,0.0359,0.8444,-0.0558,-0.1481,0.0
202501,34013,"essex, nj",553000.0,0.0064,0.1167,554.0,-0.0697,0.1137,52.0,0.0196,0.2235,332.0,0.8242,-0.117,0.0,-1.0,-1.0,52.0,-0.037,0.04,320.0,-0.1784,0.0373,327.0,0.012,0.0443,1857.0,-0.023,0.0443,921576.0,0.0448,0.2013,836.0,-0.1215,0.0705,0.5781,-0.0765,-0.0426,0.0
202501,34037,"sussex, nj",413725.0,-0.0055,0.0346,294.0,-0.0899,0.0389,58.0,-0.0043,-0.0295,128.0,0.2308,-0.1688,2.0,-0.6667,0.0,34.0,-0.1053,-0.15,210.0,-0.0646,0.2174,263.0,0.0001,0.1219,1821.0,-0.0218,-0.0985,557929.0,0.0292,0.1485,501.0,-0.0807,0.0975,0.7155,0.0194,0.1049,0.0
202501,34031,"passaic, nj",506250.0,-0.0288,0.0658,328.0,-0.0603,0.0972,41.0,-0.0889,-0.2153,192.0,0.2973,0.0667,2.0,-0.5,-0.5,34.0,0.5455,0.5455,230.0,-0.1221,0.1138,324.0,-0.0342,0.1087,1660.0,-0.0076,-0.1734,561645.0,-0.0204,0.044,545.0,-0.0841,0.089,0.7023,-0.0495,0.0105,0.0
202501,34027,"morris, nj",685000.0,-0.0207,-0.0108,420.0,-0.1297,0.1083,49.0,-0.0396,-0.1019,308.0,0.4528,0.2126,4.0,0.0,-0.3333,50.0,-0.0385,0.087,407.0,-0.1763,0.2116,333.0,0.0246,0.0677,2390.0,-0.0507,-0.0521,983775.0,0.0012,-0.014,812.0,-0.1621,0.1438,0.969,-0.0548,0.0826,0.0
202501,34019,"hunterdon, nj",691500.0,-0.0079,0.0426,162.0,-0.1099,-0.2117,71.0,0.0597,-0.007,64.0,0.0323,-0.3469,0.0,,-1.0,20.0,-0.1667,-0.0909,150.0,-0.2069,0.0034,297.0,-0.0114,0.0875,2510.0,0.0366,-0.1189,1069359.0,0.0044,0.0751,306.0,-0.1619,-0.1309,0.9228,-0.1129,0.1978,0.0
202501,34041,"warren, nj",412450.0,-0.0436,-0.0173,168.0,-0.0946,0.0669,58.0,0.0498,0.045,74.0,0.0882,-0.0976,0.0,-1.0,-1.0,24.0,-0.1429,0.3333,111.0,-0.1362,0.1563,226.0,0.0256,0.0787,2186.0,-0.031,0.1285,521938.0,-0.0404,-0.0228,280.0,-0.1027,0.0982,0.6627,-0.0319,0.0512,0.0
